Company Name,Title,Description,Location,Started On,Finished On
Tracktor SAS,Full-stack Ruby on Rails Tech Lead Developer,"Ce que j'ai adoré: - AppSignal - Atom (& new Git integration) - AWS S3 & new ActiveStorage - B2B - BTP - Capybara & new chromedriver-helper - Devise - FactoryBot (pour donnée de test et de demo) - Github Issues - Heroku-CI - Heroku Professional - Heroku Review Apps - PostgreSQL - Rails 5.2 - Rspec - Rubocop, Rubycritic - Ruby 2.4 - Slack - Twitter Bootstrap 4 - ~~No Angular or React~~ En gros, Mon Stack parfait ! Normal c'est moi qui l'ai choisi","Le Cargo,  Paris",Aug 2017,Oct 2018
Mooncard - mooncard.co,Full-stack Ruby on Rails Developer,"""La carte de paiement d’entreprise idéale pour les entrepreneurs, dirigeants et salariés""  Ce que j'ai adoré ou découvert : - La domaine de la gestion de ressources financières / Comptabilité - FactoryGirl (pour donnée de test et de demo) - Rspec - Rails 5+ - Postgres - Heroku Professional","Région de Paris, France",Jan 2017,Jul 2017
TECH'4'TEAM,Full-stack Ruby on Rails Developer,- Re-conception et Réécriture du code en rails 5 et boostrap 4 - Changement d'architecture d'un serveur dédié vers une architecture distribuée (heroku) - Base de donnée Postgres 10+ (utilisation de jsonb ) - Détection et résolution des fuites mémoires ruby (étude du garbage collector) - Utilisation des github issues comme système de gestion de projet  Ce que j'ai adoré : - bootstrap 4 - postgresql - heroku - github issues pour la gestion de projet,"Région de Paris, France",Jul 2016,Nov 2016
Demander Justice,Chef de projet étude et développement informatique (Ruby on Rails),"Projet: Saisirpruhommes.com Procédures judiciaires en ligne.  BM : e-service pour particulier.  Étude du domaine métier et codage en RoR 3 puis migration vers RoR 4. Documentation UML du domaine et des processus métiers.  Simulateur d’indemnités Paiement en ligne (Stripe) Matérialisation de fichiers numeriques et envois postaux (Maileva, Mobiltron, FTP). Signature electronique (CertSign). Recherche de tribunaux (google maps). Optimisation SEO.  Gestion de flux de travail (workflow) Gestion des emails transactionnels (Mandrill)  HTML5 sémantique (SEO, Tests), CSS/JS (Jquery, Responsive Twitter Bootstrap). Responsive design (Bootstrap 2 puis 3) Responsive HTML5 Graph (Chart.js)  Comptabilité intégrée. Systeme de recherche des objets business selon plusieurs critères.  Screenshots automatique de chaque vue lors des tests (Capybara).  Tests automatisés (Rspec). Versioning du code-source (git). Déploiements automatisés  (Capistrano). Formation et assistance du personnel.   Database management (ActiveRecord, SQL).  Ce que j'ai adoré : - rspec - capybara - twitter bootstrap - github ",,Apr 2012,Jul 2015
JobTeaser,Chef de projet étude et développement informatique (Ruby on Rails),"Jobteaser.com Plateforme marques employeurs. BM : freenium pour les étudiants; subscription pour les marques.  Documentation UML du domaine et des processus métiers. Nouvelle étude du domaine metier et codage en RoR 3 à partir du MVP codé sur une plateforme SAAS ayant son propre framework web ruby.  Site multilingue (i18n, Puret). Version d’interface mobile (Jquery Mobile) Marque blanche. Job-board API (FTP, Email, REST). Conversion videos à la volée pour mobile (ffmpeg).  Gestion des emails “Newsletter” (MailChimp). Gestion de flux de travail (workflow).  Optimisation SEO (Google Analytics, Google Webmaster Tool). CMS Content/Landing pages (comfortable-mexican-sofa).  User Auth (devise, facebook api). Export de rapport csv, xls.  Tests automatisé (Rspec). Déploiement automatisé (Capistrano).  Ce que j'ai adoré : - ruby - rails ",,Mar 2010,Feb 2012
Bibliothèque Saint Barbe,Vacataire,Très bonne experience où j'ai pu lire tellement de livres techniques :) ,,Feb 2009,Mar 2010
Préfecture de Paris,Service informatique,Stagiaire dans la section informatique à la préfecture de Paris.  Assistant pour la programmation des applications web locales et  à la maintenance informatique des 2 pôles (Daumesnil et Morlan).,,Oct 2006,Jan 2007
